Incident #,Time,Date Occurred,Description,Location,Disposition,Day Occurred,Month Occurred,Year Occurred
17-16015,1932,10/28/17,Underage Consumption,Thomas McKean Hall,Administrative Sanction,28,10,2017
17-16035,2253,10/28/17,DUI,Academy St/E Delaware Ave,Arrest,28,10,2017
17-16039,2329,10/27/17,Damaged Property,Harker ISE Lab,Pending,27,10,2017
17-16046,0003,10/29/17,Underage Consumption,Louis Redding Hall,Arrest,29,10,2017
17-16049,0009,10/29/17,Underage Consumption,Brown Lab,Arrest,29,10,2017
17-16057,0048,10/29/17,Public Intoxication,Continental Ave,Administrative Sanction,29,10,2017
17-16062,0126,10/29/17,Public Intoxication,Benny St,Administrative Sanction,29,10,2017
17-16065,0129,10/29/17,Underage Consumption,Wt Main St/N College Ave,Administrative Sanction,29,10,2017
17-16069,0205,10/29/17,Underage Consumption,Barnes & Noble Bookstore,Administrative Sanction,29,10,2017
17-16070,0152,10/29/17,Underage Consumption,Russell E,Administrative Sanction,29,10,2017
17-16075,0233,10/29/17,Underage Consumption,Gilbert Hall,Administrative Sanction,29,10,2017
17-16082,0311,10/29/17,Possession of Marijuana,Russell D,Civil Assessment,29,10,2017
17-16119,1924,10/28/17,Offensive Touching,Caesar Rodney Residence Hall,Exceptionally Clear,28,10,2017
17-16122,2132,10/29/17,Theft,Graham Hall,Pending,29,10,2017
17-16154,1228,10/1/17,Theft,George Read Hall,Pending,1,10,2017
17-16186,0020,10/31/17,Trespass,Laird Campus,Exceptionally Clear,31,10,2017
17-16194,0937,10/31/17,Disorderly Conduct,Smith Hall,Arrest,31,10,2017
17-16205,1634,10/31/17,Motor Vehicle Collision (Hit & Run),Ice Arena Parking Lot,Pending,31,10,2017
17-16235,0117,11/1/17,Underage Consumption,Gilbert Hall,Administrative Sanction,1,11,2017
17-16263,1113,11/1/17,Theft,Smith Hall,Exceptionally Clear,1,11,2017
17-16300,2118,11/1/17,Theft,Hugh Morris Library,Pending,1,11,2017
17-16304,2247,11/1/17,Possession of Marijuana,White Clay Creek State Park,Civil Assessment,1,11,2017
17-16370,2128,11/2/17,Suspicious Person,Carpenter Sport Building,Pending,2,11,2017
17-16374,2243,11/2/17,Underage Consumption,Christiana Towers,Administrative Sanction,2,11,2017
17-16408,1612,11/3/17,Motor Vehicle Collision (Hit & Run),Perkins Parking Garage,Pending,3,11,2017
17-16419,2014,11/3/17,Possession of Marijuana,Gilbert Hall,Administrative Sanction,3,11,2017
17-16421,2017,11/2/17,Theft,Christiana Towers,Pending,2,11,2017
17-16428,2245,11/3/17,Damaged Property,Gamma Phi Beta Sorority,Pending,3,11,2017
17-16443,0210,11/4/17,Underage Consumption,Caesar Rodney A,Administrative Sanction,4,11,2017
17-16446,0235,11/4/17,Underage Consumption,Cannon Hall,Administrative Sanction,4,11,2017
17-16490,2249,11/4/17,Underage Consumption,Louis Redding Hall,Administrative Sanction,4,11,2017
17-16496,2345,11/4/17,Fugitive,S Chapel St/Old Baltimore Pike,Arrest,4,11,2017
17-16500,0024,11/5/17,Public Intoxication,Academy St/Lovett Ave,Pending,5,11,2017
17-16502,0041,11/5/17,Possession of Marijuana,Russell C,Civil Assessment,5,11,2017
17-16504,0100,11/5/17,Underage Consumption,Russell E,Adminstrative Sanction,5,11,2017
17-16517,1019,11/5/17,Theft,Christiana Towers,Pending,5,11,2017
17-16530,1633,11/5/17,Motor Vehicle Collision (Hit & Run),University Courtyard Apartments,Pending,5,11,2017
17-16558,0909,11/6/17,Theft,Independence Hall,Pending,6,11,2017
17-16571,1229,11/6/17,Theft,De Biotechnology Institute,Pending,6,11,2017
17-16578,1546,11/6/17,Motor Vehicle Collision (Hit & Run),Early Learning Center,Pending,6,11,2017
17-16670,0518,11/8/17,Damaged Property,Trabant University Center,Pending,8,11,2017
17-16682,1051,11/7/17,Theft,Christiana Towers,Pending,7,11,2017
17-16715,0105,11/9/17,Underage Consumption,South Academy Residence Hall,Administrative Sanction,9,11,2017
17-16739,1410,10/9/17,Fraud,South Academy Residence Hall,Pending,9,10,2017
17-16746,1648,11/9/17,Offensive Touching,Christiana Towers,Pending,9,11,2017
17-16778,0217,11/10/17,Underage Consumption,Smyth Hall,Administrative Sanction,10,11,2017
17-16801,1222,11/10/17,Theft,Trabant University Center,Pending,10,11,2017
17-16802,1308,11/10/17,Trespass,Barnes & Noble Bookstore,Exceptionally Clear,10,11,2017
17-16805,1434,11/10/17,Theft,Purnell Hall,Pending,10,11,2017
17-16838,2356,11/10/17,Underage Consumption,South Academy Residence Hall,Administrative Sanction,10,11,2017
17-16839,0004,11/11/17,Possession of Marijuana,Christiana Towers,Civil Assessment,11,11,2017
17-16841,0039,11/11/17,Underage Consumption,Christiana Towers,Administrative Sanction,11,11,2017
17-16842,0059,11/11/17,Underage Consumption,Ray Street,Administrative Sanction,11,11,2017
17-16862,1018,11/11/17,Motor Vehicle Collision (Hit & Run),Marriot Hotel,Pending,11,11,2017
17-16880,1635,11/11/17,Possession of Marijuana,Delaware Stadium,Civil Assessment,11,11,2017
17-16913,0107,11/12/17,Public Intoxication,E Park Pl,Pending,12,11,2017
17-16915,0111,11/12/17,Graffiti,James Smith Hall,Pending,12,11,2017
17-16918,0135,11/12/17,Underage Consumption,N Collage Ave/E Cleveland Ave,Administrative Sanction,12,11,2017
17-16939,1352,11/12/17,Theft,Caesar Rodney Dining Hall,Pending,12,11,2017
17-16949,2018,11/12/17,Fire Detail,Christiana Towers,Service Clear,12,11,2017
17-17002,0847,10/25/17,Burglary,Dickinson E/F Commons,Pending,25,10,2017
17-17036,2312,11/13/17,Burglary,Christiana Towers,Arrest,13,11,2017
17-17053,1043,11/14/17,Trespass,Hugh Morris Library,Exceptionally Clear,14,11,2017
17-17065,1519,11/11/17,Theft,George Read Hall,Pending,11,11,2017
17-17088,0129,11/15/17,Damaged Property,Trabant University Center,Arrest,15,11,2017
17-17133,2142,11/15/17,Possession of Marijuana,Lane Hall,Arrest,15,11,2017
17-17194,2155,11/16/17,Harassment,Gilbert Hall,Exceptionally Clear,16,11,2017
17-17228,0911,11/17/17,Graffiti,Perkins Student Center,Pending,17,11,2017
17-17247,1325,11/17/17,Sexual Harrasment,Caesar Rodney Residence Hall,Pending,17,11,2017
17-17246,1343,11/17/17,Disorderly Conduct,Visitor Center,Arrest,17,11,2017
17-17270,1831,10/1/17,Theft,Warner Hall,Pending,1,10,2017
17-17310,1212,11/17/17,Graffiti,James Smith Hall,Pending,17,11,2017
17-17337,0100,11/19/17,DUI,S College Ave/Amstel Ave,Arrest,19,11,2017
17-17369,0829,11/20/17,Graffiti,Smith Hall,Pending,20,11,2017
17-17380,1109,11/20/17,Graffiti,Purnell Hall,Pending,20,11,2017
17-17385,1326,11/10/17,Theft,Carpenter Sport Building,Pending,10,11,2017
17-17433,1639,11/21/17,Trespass,CFA Parking Garage,Arrest,21,11,2017
17-17525,0110,11/24/17,DUI,Cleveland Ave/N College Ave,Arrest,24,11,2017
17-17526,0121,11/24/17,Possession of Marijuana,Hillside Rd/Apple Rd,Arrest,24,11,2017
17-17551,2100,11/24/17,Fugitive,E Main St,Arrest,24,11,2017
17-17569,1600,11/25/17,Possession of Marijuana,Wyoming Rd/Innovation Wy,Arrest,25,11,2017
17-17613,2020,11/26/17,Possession of a Controlled Substance/ Drug Paraphernalia,Ray Street Hall A,Civil Assessment,26,11,2017
17-17615,2102,11/17/17,Theft,Smith Hall,Pending,17,11,2017
17-17639,1538,11/24/17,Theft,Alumni Hall,Pending,24,11,2017
17-17678,1309,11/22/17,Theft,Ray Street Hall A,Pending,22,11,2017
17-17698,2258,11/28/17,Public Intoxication,W Main St,Administrative Sanction,28,11,2017
17-17735,1507,11/29/17,Trespass,Caesar Rodney Residence Hall,Pending,29,11,2017
17-17790,1111,11/30/17,Motor Vehicle Collision (Hit & Run),CFA Parking Garage,Pending Inactive,30,11,2017
17-17876,0045,12/2/17,Underage Consumption,Smyth Hall,Administrative Sanction,2,12,2017
17-17877,0051,12/2/17,Underage Consumption,Christiana Towers,Administrative Sanction,2,12,2017
17-17879,0159,12/2/17,Underage Consumption,Louis Redding Hall,Administrative Sanction,2,12,2017
17-17886,0346,12/2/17,Underage Consumption,South Academy Residence Hall,Administrative Sanction,2,12,2017
17-17918,1931,12/2/17,Theft,Louis Redding Hall,Pending,2,12,2017
17-17945,0307,12/3/17,Underage Consumption,Ray Street Hall A,Arrest,3,12,2017
17-17962,1435,12/3/17,Theft,Taylor Hall,Pending,3,12,2017
17-18005,1316,12/4/17,Shoplifting,Barnes & Noble Bookstore,Pending,4,12,2017
17-18018,1755,11/17/17,Burglary,Warner Hall,Pending,17,11,2017
17-18021,1821,12/4/17,Trespass,Ray Street Hall B,Pending,4,12,2017
17-18039,0043,12/5/17,Underage Consumption,Caesar Rodney C,Administrative Sanction,5,12,2017
17-18081,2015,12/5/17,Theft,Hugh Morris Library,Pending,5,12,2017
17-18083,2105,12/5/17,Trespass,CWT,Exceptionally Clear,5,12,2017
17-18111,1252,12/5/17,Theft,STAR Campus,Pending,5,12,2017
17-018141,2057,12/6/17,Graffiti,Hugh Morris Library,Pending,6,12,2017
17-18157,0241,12/7/17,Trespass,Christiana Towers,Administrative Sanction,7,12,2017
17-18166,0934,12/7/17,Graffiti,Wolf Hall,Pending,7,12,2017
17-18180,1440,12/7/17,Motor Vehicle Collision (Hit & Run),CFA Parking Garage,Pending,7,12,2017
17-18187,1632,12/5/17,Theft,Perkins Student Center,Pending,5,12,2017
17-18225,1149,12/7/17,Theft,Trabant University Center,Pending,7,12,2017
17-18243,1657,12/4/17,Reckless Burning,South Academy Residence Hall,Pending,4,12,2017
17-18322,2256,12/8/17,Underage Consumption,Studio Arts Building,Administrative Sanction,8,12,2017
17-18269,0027,12/9/17,Possession of Marijuana,Russell C,Arrest,9,12,2017
17-18274,0303,12/9/17,Underage Consumption,Caesar Rodney Dining Hall,Administrative Sanction,9,12,2017
17-18275,0334,12/9/17,Underage Consumption,Gilbert Hall,Administrative Sanction,9,12,2017
17-18288,1215,12/9/17,Possession of a Controlled Substance/ Drug Paraphernalia,South Academy Residence Hall,Administrative Sanction,9,12,2017
17-18297,1435,12/9/17,Theft,James Smith Hall,Unfounded,9,12,2017
17-18316,2202,12/9/17,Robbery,Benny St,Service Clear,9,12,2017
17-18323,2317,12/9/17,Theft,West Tower,Pending,9,12,2017
17-18358,1402,12/10/17,Damaged Property,Trabant University Center,Pending,10,12,2017
17-18379,2346,12/10/17,Terroristic Threatening,Hugh Morris Library,Pending,10,12,2017
17-18399,0756,12/8/17,Theft,STAR Campus,Pending,8,12,2017
17-18401,0954,12/11/17,Offensive Touching,Harker ISE Lab,Pending,11,12,2017
17-18412,1637,12/6/17,Motor Vehicle Collision (Hit & Run),Lot #6,Pending,6,12,2017
17-18545,1914,12/12/17,Possession of Marijuana,Christiana Towers,Arrest,12,12,2017
17-18587,1542,12/13/17,Harassment,Harrington Commons,Pending,13,12,2017
17-18747,0822,12/16/17,Motor Vehicle Collision (Hit & Run),Lot #26,Pending,16,12,2017
17-18801,0125,12/17/17,Theft,S College Ave/E Park Pl,Administrative Sanction,17,12,2017
17-18804,0146,12/17/17,DUI,W Main St/Corbit St,Arrest,17,12,2017
17-18859,0754,12/18/17,Damaged Property,UD Housing Operation Center,Pending,18,12,2017
17-18881,2021,12/18/17,Fugitive,UDPD,Exceptionally Clear,18,12,2017
17-18903,1130,12/19/17,Motor Vehicle Collision (Hit & Run),Pearson Hall,Pending,19,12,2017
17-19018,0102,12/22/17,DUI,E Main St/S College Ave,Arrest,22,12,2017
17-19056,2230,12/22/17,Possession of Marijuana,S College Ave/Discovery Blvd,Civil Assessment,22,12,2017
17-19071,0259,12/23/17,DUI,Sincock Ln/De Softball Stadium,Arrest,23,12,2017
17-19101,0226,12/24/17,Possession of Marijuana,S College Ave/Delaware Ave,Civil Assessment,24,12,2017
17-19220,0112,12/28/17,Possession of Marijuana,S College Ave/Discovery Blvd,Arrest,28,12,2017
17-19270,0029,12/29/17,Receiving Stolen Property,Gore Hall,Arrest,29,12,2017
17-19348,0050,12/31/17,Fugitive,E Delaware Ave/S Chapel St,Arrest,31,12,2017
17-19349,0133,12/31/17,DUI,Capitol Trl/E Cleveland Ave,Arrest,31,12,2017
18-00041,0201,1/2/18,Drug Dealing,Ogletown Rd,Arrest,2,1,2018
18-00063,2057,1/2/18,Drug Dealing,Caesar Rodney Residence Hall,Arrest,2,1,2018
18-00088,1803,1/4/18,Theft,Brown Lab,Pending,4,1,2018
18-00151,1318,1/5/18,Trespass,Rust Arena,Exceptionally Clear,5,1,2018
18-00182,0207,1/6/18,Public Intoxication,UDPD,Arrest,6,1,2018
18-00251,1030,1/7/18,Disorderly Conduct,Russell Dining Hall,Exceptionally Clear,7,1,2018
18-00346,1028,1/9/18,Harassment,Harker ISE Lab,Pending,9,1,2018
18-00347,1103,1/9/18,Motor Vehicle Collision (Hit & Run),Webb Farm,Pending,9,1,2018
18-00348,1110,1/9/18,Graffiti,Gilbert Hall,Pending,9,1,2018
18-00378,2223,1/9/18,Robbery,North St,Service Clear,9,1,2018
18-00397,1146,1/10/18,Theft,Louis Redding Hall,Pending,10,1,2018
18-00409,1714,1/10/18,Possession of Marijuana,South Academy Residence Hall,Civil Citation,10,1,2018
18-00428,0103,11/11/18,Possession of Marijuana,Elkton Rd/Thorn Ln,Civil Citation,11,11,2018
18-00515,1517,12/30/17,Theft,Sharp Lab,Pending,30,12,2017
18-00539,0205,1/13/18,Resisting Arrest,South College Ave/Marvin Dr,Pending,13,1,2018
18-00576,2244,1/13/18,Possession of Marijuana,Library Ave/Farm Ln,Civil Assessment,13,1,2018
18-00580,2344,1/13/18,Possession of Marijuana,E Delaware Ave/S College Ave,Civil Assessment,13,1,2018
18-00620,0003,1/15/18,Possession of Marijuana,E Main St,Civil Assessment,15,1,2018
18-00692,0155,1/16/18,Possession of a Controlled Substance/ Drug Paraphernalia,S Main St/Delaware Ave,Civil Assessment,16,1,2018
18-00706,0948,1/16/18,Possession of Marijuana,Blue & Gold Club/Biden Institute,Arrest,16,1,2018
17-00735,0303,2/17/18,Fugitive,Ogletown Rd/Salem Church Rd,Arrest,17,2,2018
17-00762,2004,2/17/18,Graffiti,South Academy Residence Hall,Pending,17,2,2018
18-00786,0930,12/20/17,Harassment,UDPD,Exceptionally Clear,20,12,2017
18-00804,1750,1/18/18,Motor Vehicle Collision (Hit & Run),Institute of Energy Conversion,Pending,18,1,2018
18-00838,1417,1/19/18,Traffic Violation/Fugitve,Library Ave/Farm Ln,Exceptionally Clear,19,1,2018
18-00875,2125,1/19/18,Possession of Marijuana,S Main St/Amstel Ave,Civil Assessment,19,1,2018
18-00886,0138,1/20/18,Fugitive,Barksdale Rd/Apple Rd,Exceptionally Clear,20,1,2018
18-00888,0211,1/20/18,DUI,S Chapel St/E Park Pl,Arrest,20,1,2018
18-00891,0236,1/20/18,Underage Consumption,Carpenter Sport Building,Administrative Sanction,20,1,2018
18-00925,1906,1/20/18,Underage Consumption,Laurel Hall,Administrative Sanction,20,1,2018
18-00933,2204,1/20/18,Possession of Marijuana,Christiana Towers,Civil Assessment,20,1,2018
18-00934,2205,1/20/18,Motor Vehicle Collision (Hit & Run),Perkins Parking Garage,Pending,20,1,2018
18-00940,0133,1/21/18,DUI,W Main St,Service Clear,21,1,2018
18-01003,1937,1/22/18,Theft,George Read Hall,Pending,22,1,2018
18-01053,0643,1/22/18,Motor Vehicle Collision (Hit & Run),GSB Lot,Pending,22,1,2018
18-01143,1616,1/25/18,Shoplifting,Barnes & Noble Bookstore,Arrest,25,1,2018
18-01174,1553,1/26/18,Trespass,Brown Lab,Pending,26,1,2018
18-01227,0031,1/28/18,Damaged Property,Trabant University Center,Pending,28,1,2018
18-01234,1600,1/26/18,Rape,Thomas McKean Hall,Pending,26,1,2018
18-01413,2150,1/31/18,Possession of Marijuana,Louis Redding Hall,Administrative Sanction,31,1,2018
18-01418,2320,1/31/18,Underage Consumption,Academy St/E Delaware Ave,Arrest,31,1,2018
18-01419,2331,1/31/18,Possession of Marijuana,S Chapel St/E Delaware Ave,Arrest,31,1,2018
18-01443,1327,2/2/18,Theft,Trabant University Center,Pending,2,2,2018
18-01460,0720,2/2/18,Trespass,Fred Rust Ice Arena,Pending,2,2,2018
18-01490,2108,2/2/18,Drug Dealing,Elkton Rd/Lincoln Dr,Arrest,2,2,2018
18-01559,2352,2/3/18,Possession of Marijuana,Independence Hall,Civil Assessment,3,2,2018
18-01567,0136,2/4/18,Underage Consumption,Independence Hall,Administrative Sanction,4,2,2018
18-01569,0201,2/4/18,Underage Consumption,Gilbert Hall,Administrative Sanction,4,2,2018
18-01573,0231,2/4/18,Underage Consumption,Harrington Residence Hall,Administrative Sanction,4,2,2018
18-01624,1006,2/4/18,Damaged Property,Lane Hall,Pending,4,2,2018
18-01678,0845,2/6/18,Damaged Property,Hullihen Hall,Administrative Sanction,6,2,2018
18-01694,1446,2/6/18,Possession of Marijuana,Harrington Hall C,Civil Assessment,6,2,2018
18-01727,0139,2/7/18,Underage Consumption,George Read Hall,Administrative Sanction,7,2,2018
18-01754,1600,2/7/18,Trespass,Carpenter Sport Building,Adult Arrest,7,2,2018
18-01760,1759,2/7/18,Harassment,James Smith Hall,Pending,7,2,2018
18-01774,2233,2/7/18,Theft,Caesar Rodney Dining Hall,Pending,7,2,2018
18-01801,1339,2/8/18,Graffiti,South Academy Residence Hall,Pending,8,2,2018
18-01813,1834,2/4/18,Theft,South Academy Residence Hall,Pending,4,2,2018
18-01820,2127,2/5/18,Motor Vehicle Collision (Hit & Run),Independence Hall,Pending,5,2,2018
18-01837,0002,2/9/18,Underage Possession,Russell B,Administrative Sanction,9,2,2018
18-01851,0735,2/9/18,Trespass,Hugh Morris Library,Exceptionally Clear,9,2,2018
18-01874,1728,2/9/18,Harassment,Independence Hall,Administrative Sanction,9,2,2018
18-01889,2241,2/9/18,Theft,Caesar Rodney Dining Hall,Pending,9,2,2018
18-01899,0105,1/10/18,Underage Consumption,James Smith Hall,Exceptionally Clear,10,1,2018
18-01964,0012,2/11/18,Possession of Marijuana,George Read Hall,Civil Assessment,11,2,2018
18-01968,0102,2/11/18,Possession of Marijuana,Elkton Rd/Thorn Ln,Civil Assessment,11,2,2018
18-01977,0231,2/11/18,Possession of Marijuana,E Delaware Ave,Civil Assessment,11,2,2018
18-02008,1434,2/10/18,Motor Vehicle Collision (Hit & Run),Trabant University Center,Pending,10,2,2018
18-02189,0229,2/14/18,Robbery,Lot #6,Pending,14,2,2018
18-02190,0348,2/14/18,Possession of Marijuana,Lot #6,Civil Assessment,14,2,2018
18-02277,1608,2/15/18,Harassment,UDPD,Pending,15,2,2018
18-02285,1804,2/15/20,Motor Vehicle Collision (Hit & Run),Lot #55,Pending,15,2,2020
18-02304,2346,2/15/18,Public Intoxication,Gilbert Hall,Administrative Sanction,15,2,2018
18-02312,0216,2/16/18,DUI,E Main St,Arrest,16,2,2018
18-02335,1437,2/16/18,Trespass,Fred Rust Ice Arena,Arrest,16,2,2018
18-02339,1535,2/16/18,Forgery,Trabant University Center,Pending,16,2,2018
18-02366,0009,2/17/18,Possession of Marijuana,Russell A,Civil Assessment,17,2,2018
18-02369,0050,2/17/18,Underage Consumption,Ray Street Hall C,Administrative Sanction,17,2,2018
18-02371,0123,2/17/18,Underage Consumption,Harrington Hall D,Administrative Sanction,17,2,2018
18-02377,0414,2/17/18,Possession of a Controlled Substance/ Drug Paraphernalia,Caesar Rodney B,Pending,17,2,2018
18-02440,0052,2/18/18,Possession of Marijuana,Russell B,Civil Assessment,18,2,2018
18-02445,0204,2/18/18,Public Intoxication,Louis Redding Hall,Arrest,18,2,2018
18-02448,0304,2/18/18,Public Intoxication,Academy St/Courtney St,Arrest,18,2,2018
18-02459,0933,2/18/18,Possession of Marijuana,E Cleveland Ave/N College Ave,Civil Assessment,18,2,2018
18-02475,1311,2/18/18,Motor Vehicle Collision (Hit & Run),Lot #6,Pending,18,2,2018
18-02535,1617,2/19/18,Fugitive,Hillside Rd/W Main St,Arrest,19,2,2018
18-02627,0005,2/21/18,Underage Consumption,Independence Hall East,Administrative Sanction,21,2,2018
18-02652,1230,2/21/18,Offensive Touching,S College Ave,Pending,21,2,2018
18-02687,0050,2/22/18,Terroristic Threatening,W Main Street,Arrest,22,2,2018
18-02687,0050,2/22/18,Damaged Property,UDPD,Pending,22,2,2018
18-02705,0927,2/22/18,Motor Vehicle Collision (Hit & Run),Academy Street Bldg,Pending,22,2,2018
18-02738,2111,2/22/18,Damaged Property,Trabant University Center,Pending,22,2,2018
18-02751,0045,2/23/18,Underage Consumption,Pearson Hall,Arrest,23,2,2018
18-02780,1421,2/21/18,Motor Vehicle Collision (Hit & Run),Perkins Parking Garage,Pending,21,2,2018
18-02808,2353,2/23/18,Underage Consumption,Caesar Rodney A,Administrative Sanction,23,2,2018
18-02811,0009,2/24/18,Underage Consumption,Louis Redding Hall,Administrative Sanction,24,2,2018
18-02813,0027,2/24/18,Underage Consumption,Louis Redding Hall,Administrative Sanction,24,2,2018
18-02816,0050,2/24/18,Underage Consumption,Russell E,Arrest,24,2,2018
18-02821,0219,2/24/18,Underage Consumption,Russell C,Administrative Sanction,24,2,2018
18-02823,0300,2/24/18,Underage Consumption,Gilbert,Administrative Sanction,24,2,2018
18-02824,0328,2/24/18,Underage Consumption,Harrington Hall D,Pending,24,2,2018
18-02825,0331,2/24/18,Underage Consumption,Thompson Hall,Administrative Sanction,24,2,2018
18-02827,0347,2/24/18,Underage Consumption,Newark Police Department,Administrative Sanction,24,2,2018
18-02870,2226,2/24/18,Possession of Marijuana,Christiana Towers,Administrative Sanction,24,2,2018
18-02873,2318,2/24/18,Loud Party,Lane Hall,Administrative Sanction,24,2,2018
18-02885,0302,2/25/18,Underage Consumption,Harter Hall,Administrative Sanction,25,2,2018
18-02887,0338,2/25/18,Underage Consumption,South Academy Residence Hall,Adminstrative Sanction,25,2,2018
18-02919,0030,2/26/18,Possession of a Controlled Substance/ Drug Paraphernalia,Thomas McKean Hall,Administrative Sanction,26,2,2018
18-02946,1703,2/20/18,Theft,Trabant University Center,Pending,20,2,2018
18-03036,2215,2/27/18,Shoplifting,Harrington Commons,Pending,27,2,2018
18-03057,0231,2/28/18,Rape,Marriot Hotel,Pending,28,2,2018
18-03110,0051,3/1/18,Underage Consumption,Kirkbride Hall,Administrative Sanction,1,3,2018
18-03112,0125,3/1/18,Underage Consumption,Pearson Hall,Administrative Sanction,1,3,2018
18-03122,0837,2/28/18,Damaged Property,Ed Fine Parking Lot,Pending,28,2,2018
18-03161,0023,3/2/18,Underage Consumption,Russell E,Administrative Sanction,2,3,2018
18-03214,2217,3/2/18,Underage Consumption,Perkins Parking Garage,Administrative Sanction,2,3,2018
18-03225,0054,3/3/18,Possession of a Controlled Substance/ Drug Paraphernalia,Thompson Hall,Arrest,3,3,2018
18-03228,0238,3/3/18,Underage Consumption,Louis Redding Hall,Administrative Sanction,3,3,2018
18-03282,1823,2/17/18,Damaged Property,Lot #6,Pending Inactive,17,2,2018
18-03294,2158,3/1/18,Strangulation/Harrassment/Offensive Touching/Menacing,Thompson Hall,Adult Arrest,1,3,2018
18003300,0052,3/4/18,Public Intoxication,Marriot Hotel,Arrest,4,3,2018
18003305,0107,3/4/18,Possession of Marijuana,Burger King,Civil Assessment,4,3,2018
18003340,1431,3/4/18,Damaged Property,Trabant University Center,Pending,4,3,2018
18003335,1253,3/3/18,Harassment,BCC Parking Lot,Exceptionally Clear,3,3,2018
18003359,2100,2/25/18,Theft,Perkins Student Center,Pending,25,2,2018
18-03378,0126,3/5/18,Public Intoxication,Mitchell Hall,Arrest,5,3,2018
18-03463,1755,3/6/18,Resisting Arrest,S College Ave,Pending,6,3,2018
18-03479,2244,3/6/18,Shoplifting,Harrington Commons,Pending,6,3,2018
18-03519,1712,3/7/18,Disorderly Conduct,Squire Residence Hall,Pending,7,3,2018
18-03564,1217,3/4/18,Harassment,Amy DuPont Music Building,Pending,4,3,2018
18-03599,0104,3/8/18,Assist Other Agency,Catherine Rooney's,Administrative Sanction,8,3,2018
18-03731,0012,3/11/18,Possession of Marijuana,George Read Hall,Civil Assessment,11,3,2018
18-03744,0143,3/11/18,Possession of Marijuana,E Delaware Ave,Civil Assessment,11,3,2018
18-03749,0306,3/11/18,Underage Consumption,Russell A,Exceptionally Clear,11,3,2018
18-03750,0311,3/11/18,Carrying Concealed Deadly Weapon/Endangering the Welfare/Possession of a Firearm,Ed Fine Parking Lot,Arrest,11,3,2018
18-03765,1515,3/7/18,Unlawful Use of Credit Card,Sypherd Hall,Pending,7,3,2018
18-03769,1604,3/11/18,Possession of Marijuana,Courtney St/Ashley Rd,Civil Assessment,11,3,2018
18-03802,0835,3/10/18,Damaged Property,Caesar Rodney Dining Hall,Pending,10,3,2018
18-03850,0253,3/13/18,Possession of Marijuana,S Main St/Amstel Ave,Civil Assessment,13,3,2018
18-03873,1237,3/13/18,MV Collision,Maintenance Circle Fire Lane,Traffic Citation,13,3,2018
18-03886,1801,3/13/18,Possession of Marijuana,E Delaware Ave/S Chapel St,Arrest,13,3,2018
18-03910,0827,3/14/18,Graffiti,Pencader Dining Hall,Pending,14,3,2018
18-03923,1201,3/14/18,Lewdness,Willard Hall,Pending,14,3,2018
18-03930,1551,3/14/18,Harassment,Harker ISE Lab,Pending,14,3,2018
18-03936,2030,3/13/18,Theft,Willard Hall,Pending,13,3,2018
18-03948,0024,3/15/18,Sexual Harrasment,Harrington Hall C,Arrest,15,3,2018
18-04012,2309,3/15/18,Traffic Violation/Fugitve,Creek Rd/N College Ave,Arrest,15,3,2018
18-04016,0104,3/16/18,Public Intoxication,Russell E,Exceptionally Clear,16,3,2018
18-04050,1615,3/15/18,Terroristic Threatening,Pencader Dining Hall,Pending,15,3,2018
18-04056,2015,3/16/18,Carrying Concealed Deadly Weapon/Endangering the Welfare/Possession of a Firearm,Laird Campus,Arrest,16,3,2018
18-04075,0001,3/17/18,Underage Consumption,Harrington Hall A,Administrative Sanction,17,3,2018
18-04076,0008,3/17/18,Underage Consumption,Old College Hall,Pending,17,3,2018
18-04127,1312,3/17/18,Possession of Marijuana,S Main St/W Park Pl,Civil Assessment,17,3,2018
18-04130,1357,3/17/18,Offensive Touching,Russell A,Service Clear,17,3,2018
18-04168,2026,3/17/18,Damaged Property,Christiana Towers,Arrest,17,3,2018
18-04171,2055,3/17/18,Underage Consumption,Harrington Commons,Pending,17,3,2018
18-04179,2136,3/17/18,Underage Consumption,Christiana Towers,Administrative Sanction,17,3,2018
18-04184,2234,3/17/18,Possession of Marijuana,S College Ave/E Main St,Civil Assessment,17,3,2018
18-04186,2316,3/17/18,Possession of Marijuana,Pulaski Hy/Lagrange Ave,Civil Assessment,17,3,2018
18-04190,2348,3/17/18,Underage Consumption,Independence Hall East,Administrative Sanction,17,3,2018
18-04199,0112,3/18/18,DUI,Pulaski Hy/Lagrange Ave,Arrest,18,3,2018
18-04208,0225,3/16/18,Damaged Property,Thomas McKean Hall,Pending,16,3,2018
18-04211,0257,3/17/18,Theft,Trabant University Center,Pending,17,3,2018
18-04249,2105,3/18/18,Graffiti,James Smith Hall,Pending,18,3,2018
18-04250,2126,3/4/18,Motor Vehicle Collision (Hit & Run),Laird Campus,Pending,4,3,2018
18-04285,1645,3/19/18,MV Collision,Townsend Hall,Pending,19,3,2018
18-04298,2213,3/19/18,Shoplifting,Harrington Commons,Pending,19,3,2018
18-04316,1102,3/8/18,Theft,Louis Redding Hall,Pending,8,3,2018
18-04374/18-04380,1637,3/21/18,Stalking,UDPD,Arrest,21,3,2018
18-04394,0226,3/22/18,Underage Consumption,George Read Hall,Arrest,22,3,2018
18-04401,0851,3/22/20,Trespass,College of Arts and Sciences,Pending,22,3,2020
